week,agent_role,action,reward,done,policy_type,model_name,tool_order,llm_order,difference,consensus_gap,state_json,next_state_json,info_json
0,Retailer,0,-76.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""cost"": 76.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
0,Wholesaler,0,-76.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""cost"": 76.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
0,Distributor,0,-76.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""cost"": 76.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
0,Factory,0,-76.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0, ""lead_time"": 2}","{""cost"": 76.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
1,Retailer,0,-72.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""inventory"": 12, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""cost"": 72.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
1,Wholesaler,0,-72.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""cost"": 72.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
1,Distributor,0,-72.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""cost"": 72.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
1,Factory,0,-72.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1, ""lead_time"": 2}","{""cost"": 72.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
2,Retailer,0,-68.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 12, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
2,Wholesaler,0,-68.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
2,Distributor,0,-68.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
2,Factory,0,-68.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
3,Retailer,0,-64.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 4, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 64.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
3,Wholesaler,0,-64.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 64.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
3,Distributor,0,-64.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 64.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
3,Factory,0,-64.0,False,llm,Qwen/Qwen3-4B,0,0,0,0,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 64.0, ""bullwhip"": null, ""negotiation_proposals"": {""Retailer"": 0, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
4,Retailer,4,-70.025,False,llm,Qwen/Qwen3-4B,4,4,0,4,"{""inventory"": 4, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 4, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 4, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": 0.25, ""negotiation_proposals"": {""Retailer"": 4, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
4,Wholesaler,0,-70.025,False,llm,Qwen/Qwen3-4B,0,0,0,4,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": 0.25, ""negotiation_proposals"": {""Retailer"": 4, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
4,Distributor,0,-70.025,False,llm,Qwen/Qwen3-4B,0,0,0,4,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": 0.25, ""negotiation_proposals"": {""Retailer"": 4, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
4,Factory,0,-70.025,False,llm,Qwen/Qwen3-4B,0,0,0,4,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 68.0, ""bullwhip"": 0.25, ""negotiation_proposals"": {""Retailer"": 4, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
5,Retailer,20,-86.375,False,llm,Qwen/Qwen3-4B,20,20,0,20,"{""inventory"": 0, ""backlog"": 4, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 4, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 12, ""incoming_shipments"": 4, ""pipeline_inventory"": 4, ""last_customer_demand"": 8, ""last_order"": 20, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 80.0, ""bullwhip"": 3.7500000000000004, ""negotiation_proposals"": {""Retailer"": 20, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
5,Wholesaler,0,-86.375,False,llm,Qwen/Qwen3-4B,0,0,0,20,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 20, ""last_order"": 0, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 80.0, ""bullwhip"": 3.7500000000000004, ""negotiation_proposals"": {""Retailer"": 20, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
5,Distributor,0,-86.375,False,llm,Qwen/Qwen3-4B,0,0,0,20,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 80.0, ""bullwhip"": 3.7500000000000004, ""negotiation_proposals"": {""Retailer"": 20, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
5,Factory,0,-86.375,False,llm,Qwen/Qwen3-4B,0,0,0,20,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 80.0, ""bullwhip"": 3.7500000000000004, ""negotiation_proposals"": {""Retailer"": 20, ""Wholesaler"": 0, ""Distributor"": 0, ""Factory"": 0}}"
6,Retailer,28,-101.41666666666667,False,llm,Qwen/Qwen3-4B,28,28,0,16,"{""inventory"": 0, ""backlog"": 12, ""incoming_shipments"": 4, ""pipeline_inventory"": 4, ""last_customer_demand"": 8, ""last_order"": 20, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 20, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 8, ""last_order"": 28, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 88.0, ""bullwhip"": 14.166666666666668, ""negotiation_proposals"": {""Retailer"": 28, ""Wholesaler"": 24, ""Distributor"": 0, ""Factory"": 0}}"
6,Wholesaler,24,-101.41666666666667,False,llm,Qwen/Qwen3-4B,24,24,0,16,"{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 20, ""last_order"": 0, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 4, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 28, ""last_order"": 24, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 88.0, ""bullwhip"": 14.166666666666668, ""negotiation_proposals"": {""Retailer"": 28, ""Wholesaler"": 24, ""Distributor"": 0, ""Factory"": 0}}"
6,Distributor,12,-101.41666666666667,False,llm,Qwen/Qwen3-4B,0,12,12,16,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 24, ""last_order"": 12, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 88.0, ""bullwhip"": 14.166666666666668, ""negotiation_proposals"": {""Retailer"": 28, ""Wholesaler"": 24, ""Distributor"": 0, ""Factory"": 0}}"
6,Factory,12,-101.41666666666667,False,llm,Qwen/Qwen3-4B,0,12,12,16,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 12, ""last_order"": 12, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 88.0, ""bullwhip"": 14.166666666666668, ""negotiation_proposals"": {""Retailer"": 28, ""Wholesaler"": 24, ""Distributor"": 0, ""Factory"": 0}}"
7,Retailer,36,-162.4359375,False,llm,Qwen/Qwen3-4B,36,36,0,56,"{""inventory"": 0, ""backlog"": 20, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 8, ""last_order"": 28, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 24, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 8, ""last_order"": 36, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 128.0, ""bullwhip"": 44.359375, ""negotiation_proposals"": {""Retailer"": 36, ""Wholesaler"": 60, ""Distributor"": 28, ""Factory"": 4}}"
7,Wholesaler,60,-162.4359375,False,llm,Qwen/Qwen3-4B,60,60,0,56,"{""inventory"": 0, ""backlog"": 4, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 28, ""last_order"": 24, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 32, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 36, ""last_order"": 60, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 128.0, ""bullwhip"": 44.359375, ""negotiation_proposals"": {""Retailer"": 36, ""Wholesaler"": 60, ""Distributor"": 28, ""Factory"": 4}}"
7,Distributor,28,-162.4359375,False,llm,Qwen/Qwen3-4B,28,28,0,56,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 24, ""last_order"": 12, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 4, ""incoming_shipments"": 12, ""pipeline_inventory"": 12, ""last_customer_demand"": 60, ""last_order"": 28, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 128.0, ""bullwhip"": 44.359375, ""negotiation_proposals"": {""Retailer"": 36, ""Wholesaler"": 60, ""Distributor"": 28, ""Factory"": 4}}"
7,Factory,4,-162.4359375,False,llm,Qwen/Qwen3-4B,4,4,0,56,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 12, ""last_order"": 12, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 12, ""pipeline_inventory"": 12, ""last_customer_demand"": 28, ""last_order"": 4, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 128.0, ""bullwhip"": 44.359375, ""negotiation_proposals"": {""Retailer"": 36, ""Wholesaler"": 60, ""Distributor"": 28, ""Factory"": 4}}"
8,Retailer,40,-427.65,False,llm,Qwen/Qwen3-4B,40,40,0,10,"{""inventory"": 0, ""backlog"": 24, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 8, ""last_order"": 36, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 16, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 40, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 336.0, ""bullwhip"": 76.5, ""negotiation_proposals"": {""Retailer"": 40, ""Wholesaler"": 60, ""Distributor"": 30, ""Factory"": 48}}"
8,Wholesaler,40,-427.65,False,llm,Qwen/Qwen3-4B,100,40,60,10,"{""inventory"": 0, ""backlog"": 32, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 36, ""last_order"": 60, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 68, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 40, ""last_order"": 40, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 336.0, ""bullwhip"": 76.5, ""negotiation_proposals"": {""Retailer"": 40, ""Wholesaler"": 60, ""Distributor"": 30, ""Factory"": 48}}"
8,Distributor,50,-427.65,False,llm,Qwen/Qwen3-4B,100,50,50,10,"{""inventory"": 0, ""backlog"": 4, ""incoming_shipments"": 12, ""pipeline_inventory"": 12, ""last_customer_demand"": 60, ""last_order"": 28, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 64, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 40, ""last_order"": 50, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 336.0, ""bullwhip"": 76.5, ""negotiation_proposals"": {""Retailer"": 40, ""Wholesaler"": 60, ""Distributor"": 30, ""Factory"": 48}}"
8,Factory,48,-427.65,False,llm,Qwen/Qwen3-4B,48,48,0,10,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 12, ""pipeline_inventory"": 12, ""last_customer_demand"": 28, ""last_order"": 4, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 20, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 50, ""last_order"": 48, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 336.0, ""bullwhip"": 76.5, ""negotiation_proposals"": {""Retailer"": 40, ""Wholesaler"": 60, ""Distributor"": 30, ""Factory"": 48}}"
9,Retailer,50,-665.6174479166667,False,llm,Qwen/Qwen3-4B,32,50,18,0,"{""inventory"": 0, ""backlog"": 16, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 40, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 24, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 8, ""last_order"": 50, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 524.0, ""bullwhip"": 106.17447916666667, ""negotiation_proposals"": {""Retailer"": 32, ""Wholesaler"": 68, ""Distributor"": 50, ""Factory"": 50}}"
9,Wholesaler,50,-665.6174479166667,False,llm,Qwen/Qwen3-4B,100,50,50,0,"{""inventory"": 0, ""backlog"": 68, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 40, ""last_order"": 40, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 88, ""incoming_shipments"": 12, ""pipeline_inventory"": 12, ""last_customer_demand"": 50, ""last_order"": 50, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 524.0, ""bullwhip"": 106.17447916666667, ""negotiation_proposals"": {""Retailer"": 32, ""Wholesaler"": 68, ""Distributor"": 50, ""Factory"": 50}}"
9,Distributor,50,-665.6174479166667,False,llm,Qwen/Qwen3-4B,100,50,50,0,"{""inventory"": 0, ""backlog"": 64, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 40, ""last_order"": 50, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 92, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 50, ""last_order"": 50, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 524.0, ""bullwhip"": 106.17447916666667, ""negotiation_proposals"": {""Retailer"": 32, ""Wholesaler"": 68, ""Distributor"": 50, ""Factory"": 50}}"
9,Factory,50,-665.6174479166667,False,llm,Qwen/Qwen3-4B,100,50,50,0,"{""inventory"": 0, ""backlog"": 20, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 50, ""last_order"": 48, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 58, ""incoming_shipments"": 52, ""pipeline_inventory"": 52, ""last_customer_demand"": 50, ""last_order"": 50, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 524.0, ""bullwhip"": 106.17447916666667, ""negotiation_proposals"": {""Retailer"": 32, ""Wholesaler"": 68, ""Distributor"": 50, ""Factory"": 50}}"
